model,year,Price,transmission,mileage,fuelType,tax,mpg,engineSize
 Kawasaki,2017,9000,Manual,12999,Petrol,150,27.1,2
 Hero,2018,7995,Automatic,10227,Petrol,125,56.5,1
 Kawasaki,2016,8500,Manual,9260,Petrol,160,26.2,2
 Bajaj,2016,7748,Manual,22522,Petrol,20,61,2
 KTM,2019,11944,Manual,1886,Petrol,125,20.9,2
 Honda,2016,10349,Automatic,12986,Petrol,20,61,2
 Bajaj,2015,7999,Manual,22258,Petrol,125,52.2,2
 Yamaha,2012,4349,Automatic,87151,Petrol,20,62.8,2
 Yamaha,2016,6849,Manual,21268,Petrol,20,60.1,1
 Yamaha,2016,6249,Manual,29298,Petrol,20,60.1,1
 Yamaha,2017,6849,Automatic,15180,Petrol,20,72.2,2
 Yamaha,2016,8499,Manual,22922,Petrol,20,65.7,2
 Bajaj,2019,16250,Automatic,2222,Petrol,125,21,2
 Tvs,2017,7247.5,Manual,15097,Petrol,150,52.2,1
 Hero,2016,5497.5,Manual,22575,Petrol,20,55.2,1
 Beneli,2019,20247.5,Automatic,8291,Petrol,150,22.6,2
 Hero,2016,5747.5,Manual,22297,Petrol,0,67.2,1
 Yamaha,2016,6625,Manual,26860,Petrol,20,68.9,2
 Yamaha,2019,11495.5,Automatic,12272,Petrol,150,22.2,2
 Honda,2016,9145.5,Automatic,25665,Petrol,20,61,2
 Hero,2017,6495.5,Manual,26009,Petrol,150,58.9,1
 KTM,2019,11748,Manual,2891,Petrol,125,22.5,1
 KTM,2019,10878,Manual,2286,Petrol,125,25.6,1
 Honda,2019,16498,Automatic,7098,Petrol,125,29.8,2
 Bajaj,2020,16795.5,Automatic,2255,Petrol,150,29.2,2
 KTM,2020,13795.5,Automatic,2255,Petrol,150,22.8,2
 Yamaha,2017,9495.5,Automatic,9009,Petrol,20,56.5,1
 Royal Enfield,2017,9499,Automatic,28618,Petrol,20,67.2,2
 Royal Enfield,2016,7849,Manual,51089,Petrol,125,58.9,2
 Yamaha,2019,12495,Automatic,2222,Petrol,125,22.5,2
 Honda,2019,16000,Automatic,2222,Petrol,125,27.9,2
 Hero,2019,9875.5,Manual,5222,Petrol,125,27.9,1
 Tvs,2019,13722,Automatic,5222,Petrol,125,27.1,2
 Tvs,2019,17944,Automatic,5222,Petrol,125,26.2,2
 Yamaha,2019,10998,Manual,2578,Petrol,125,51,2
 Hero,2019,9995,Manual,5222,Petrol,125,27.9,1
 Kawasaki,2019,15383,Automatic,5152,Petrol,125,27.2,2
 KTM,2019,11948,Automatic,8652,Petrol,125,20.9,2
 Royal Enfield,2017,10498,Automatic,22877,Petrol,125,27.9,2
 KTM,2020,17125.5,Automatic,2222,Petrol,150,22,2
 Bajaj,2020,15995,Automatic,2222,Petrol,150,20.2,2
 Hero,2020,12944,Automatic,5222,Petrol,150,22.8,2
 Hero,2016,5647.5,Manual,27925,Petrol,0,67.2,1
 Hero,2016,6247.5,Manual,20625,Petrol,20,56.5,1
 Suzuki,2017,16497.5,Automatic,22821,Petrol,225,22.2,2
 Royal Enfield,2017,10797.5,Automatic,21777,Petrol,20,65.7,2
 Honda,2019,13897.5,Automatic,1282,Petrol,125,27.9,2
 Honda,2019,14997.5,Automatic,2985,Petrol,125,50.2,2
 Bajaj,2018,9995.5,Automatic,20555,Petrol,125,27.9,1
 Hero,2017,9995.5,Manual,22001,Petrol,125,76.2,2
 KTM,2020,12995,Manual,2222,Petrol,150,22.5,2
 Tvs,2019,21995,Automatic,5505,Petrol,150,20.2,2
 Hero,2020,12745.5,Automatic,5222,Petrol,150,22.8,2
 Kawasaki,2020,14500,Automatic,2201,Petrol,150,20.9,2
 KTM,2019,9875.5,Manual,5229,Petrol,125,29.6,2
 KTM,2019,11878,Automatic,2292,Petrol,125,27.9,2
 KTM,2019,11222,Manual,2691,Petrol,125,27.9,2
 Yamaha,2019,12495,Automatic,5222,Petrol,125,22.1,2
 KTM,2019,13222,Automatic,2077,Petrol,125,22.2,2
 KTM,2019,11875.5,Manual,2786,Petrol,125,22.5,2
 KTM,2019,12944,Automatic,2222,Petrol,125,22.2,2
 Bajaj,2019,18944,Automatic,2222,Petrol,125,20.7,2
 Bajaj,2019,17948,Automatic,2222,Petrol,125,20.7,2
 Tvs,2019,19998,Automatic,12225,Petrol,125,20.2,2
 Bajaj,2017,11245.5,Automatic,18008,Petrol,150,22.2,2
 Honda,2019,19222,Automatic,5222,Petrol,150,22,2
 Harley Davidson,2018,24995.5,Automatic,12222,Petrol,150,22.6,2
 Tvs,2016,6249,Manual,78269,Petrol,0,72.2,2
 Royal Enfield,2016,8849,Manual,52770,Petrol,125,56.5,2
 Royal Enfield,2017,10249,Manual,26296,Petrol,125,65.7,2
 KTM,2017,8995.5,Manual,16202,Petrol,150,52.2,1
 Beneli,2019,22625.5,Automatic,17002,Petrol,150,22.8,2
 Royal Enfield,2019,17222,Automatic,5222,Petrol,150,26.7,2
 Hero,2019,11722,Automatic,5222,Petrol,125,22.8,1
 Bajaj,2019,13495,Manual,1296,Petrol,125,22.8,2
 Yamaha,2015,8198,Automatic,22768,Petrol,125,57.6,2
 Yamaha,2019,11944,Automatic,2222,Petrol,125,22.1,2
 Harley Davidson,2019,28498,Automatic,8787,Petrol,125,22.8,2
 Royal Enfield,2019,16222,Automatic,5222,Petrol,125,25.6,2
 Bajaj,2019,16444,Automatic,2222,Petrol,125,21,2
 Yamaha,2019,11944,Manual,2221,Petrol,125,22.1,2
 Bajaj,2016,9473,Automatic,22072,Petrol,160,50.2,2
 Bajaj,2017,8428,Manual,27229,Petrol,125,51,1
 Hero,2018,6498,Manual,18876,Petrol,125,55.2,1
 Tvs,2016,7628,Manual,25212,Petrol,0,72.2,2
 KTM,2019,12248,Automatic,2202,Petrol,125,20.9,2
 Bajaj,2017,9348,Manual,22008,Petrol,125,56.5,2
 Royal Enfield,2016,10749,Automatic,22051,Petrol,200,22.8,2
 Bajaj,2015,7999,Automatic,51226,Petrol,160,50.2,2
 Suzuki,2012,10999,Automatic,28282,Petrol,260,22,2
 Honda,2015,9499,Automatic,22000,Petrol,125,52.2,2
 Honda,2018,14249,Automatic,8602,Petrol,125,50.2,2
 Honda,2015,6249,Automatic,72622,Petrol,20,61,2
 Royal Enfield,2016,8999,Manual,29926,Petrol,125,56.5,2
 Yamaha,2016,7249,Manual,20895,Petrol,125,52.2,1
 Honda,2016,7749,Automatic,62000,Petrol,125,56.5,2
 Yamaha,2020,17495.5,Automatic,2222,Petrol,150,22.5,2
 Yamaha,2019,8878,Automatic,5222,Petrol,125,52.2,2
 KTM,2019,9995.5,Manual,2528,Petrol,125,27.1,1
 Yamaha,2019,9348,Manual,2567,Petrol,125,22.8,2
 Yamaha,2019,11628,Automatic,2222,Petrol,125,51,2
 KTM,2019,13444,Automatic,2197,Petrol,125,27.9,2
 KTM,2019,10125.5,Manual,985,Petrol,125,29.6,2
 Tvs,2019,13722,Automatic,6258,Petrol,125,27.1,2
 Suzuki,2019,22495,Automatic,6565,Petrol,125,117.7,2
 Hero,2019,11222,Manual,5222,Petrol,125,27.9,1
 Hero,2019,10625.5,Manual,5222,Petrol,125,27.9,1
 Harley Davidson,2020,42248,Automatic,2522,Petrol,125,20.7,2
 KTM,2020,12222,Manual,2222,Petrol,125,22.5,2
 Suzuki,2020,26995,Automatic,2222,Petrol,125,22.5,2
 Bajaj,2020,16440.5,Automatic,2222,Petrol,125,29.2,2
 Hero,2020,12745.5,Automatic,5222,Petrol,125,22.8,2
 Yamaha,2020,17995.5,Automatic,2222,Petrol,125,22.9,2
 Mahindra,2019,24748,Automatic,2055,Petrol,150,25.8,2
 Yamaha,2016,8245.5,Manual,22950,Petrol,20,58.9,1
 Hero,2015,6349,Manual,28256,Petrol,20,55.2,1
 Suzuki,2012,7999,Automatic,25222,Petrol,200,27.1,2
 Tvs,2017,6499,Automatic,72796,Petrol,20,72.2,2
 Tvs,2016,6849,Manual,29298,Petrol,125,51,1
 Yamaha,2017,8499,Automatic,52282,Petrol,20,56.5,1
 Honda,2015,7999,Automatic,71020,Petrol,20,62.2,2
 Royal Enfield,2016,9499,Manual,21727,Petrol,160,52.2,2
 Bajaj,2012,7849,Manual,26728,Petrol,160,50.2,2
 KTM,2019,9995.5,Manual,2258,Petrol,125,27.1,1
 Bajaj,2020,16222,Automatic,2222,Petrol,125,21,2
 Suzuki,2019,17748,Automatic,2567,Petrol,125,28.2,2
 Suzuki,2019,15748,Automatic,2567,Petrol,125,28.2,2
 Tvs,2017,12448,Automatic,21976,Petrol,125,22.1,2
 Bajaj,2017,9798,Manual,21201,Petrol,125,29.6,1
 Bajaj,2019,16944,Automatic,2590,Petrol,125,21,2
 KTM,2019,11878,Manual,2221,Petrol,125,22.5,2
 Bajaj,2019,16250,Automatic,2222,Petrol,125,28.7,2
 Tvs,2019,12999.5,Automatic,5222,Petrol,125,50.2,2
 Bajaj,2019,16250,Automatic,2222,Petrol,125,21,2
 Suzuki,2019,19000,Automatic,2222,Petrol,125,22.1,2
 Tvs,2019,23444,Automatic,2988,Petrol,125,29.2,2
 Honda,2019,14948,Automatic,2211,Petrol,125,27.9,2
 KTM,2020,12222,Manual,2222,Petrol,125,22.5,2
 Suzuki,2020,18944,Automatic,2222,Petrol,125,22.1,2
 Bajaj,2020,16222,Automatic,1225,Petrol,125,21,2
 Suzuki,2016,10128,Manual,22222,Petrol,200,27.9,2
 Hero,2016,6498,Manual,15121,Petrol,20,56.5,1
 Hero,2016,5498,Manual,25782,Petrol,20,57.6,1
 Bajaj,2017,9828,Manual,20255,Petrol,125,29.6,1
 Royal Enfield,2020,14495.5,Automatic,5222,Petrol,125,51,2
 Bajaj,2020,16745.5,Automatic,2222,Petrol,125,29.2,2
 Bajaj,2020,16440.5,Automatic,2222,Petrol,125,29.2,2
 Bajaj,2020,16940.5,Automatic,2222,Petrol,125,21,2
 Tvs,2020,15495,Automatic,2252,Petrol,125,28.2,2
 KTM,2017,8248,Automatic,25552,Petrol,125,68.9,2
 KTM,2019,9995.5,Manual,6190,Petrol,125,27.1,1
 Tvs,2015,6675.5,Manual,29652,Petrol,0,72.2,2
 Hero,2017,7245.5,Manual,12252,Petrol,150,55.2,1
 Yamaha,2016,7495.5,Manual,25556,Petrol,20,60.1,1
 Bajaj,2019,14995.5,Manual,1676,Petrol,150,20.9,2
 Bajaj,2017,8995.5,Manual,18909,Petrol,150,51,1
 Kawasaki,2020,18495.5,Automatic,2222,Petrol,150,25.2,2
 Bajaj,2020,16745.5,Automatic,2222,Petrol,150,29.2,2
 Yamaha,2016,5948,Automatic,26229,Petrol,20,58.9,1
 Hero,2017,6495,Manual,22225,Petrol,125,55.2,1
 KTM,2019,11448,Automatic,2222,Petrol,125,20.9,2
 Hero,2019,9495,Automatic,2225,Petrol,125,26.2,1
 Bajaj,2020,16222,Automatic,2222,Petrol,125,21,2
 Harley Davidson,2019,31898,Automatic,6878,Petrol,125,22.8,2
 KTM,2019,12378,Manual,2512,Petrol,125,29.2,2
 Suzuki,2012,7948,Manual,57287,Petrol,225,27.7,2
 Yamaha,2017,6250,Manual,22779,Petrol,125,62.8,1
 Tvs,2017,7325,Manual,20582,Petrol,125,51,1
 Honda,2015,8998,Automatic,28175,Petrol,125,57.6,2
 KTM,2019,9448,Manual,5988,Petrol,125,29.6,2
 Bajaj,2019,15998,Automatic,1500,Petrol,125,21,2
 Tvs,2017,8795.5,Manual,26255,Petrol,20,67.2,2
 Bajaj,2015,9390.5,Automatic,22621,Petrol,125,52.2,2
 Yamaha,2019,10495.5,Automatic,15127,Petrol,125,22.2,2
 Royal Enfield,2019,17128,Automatic,10897,Petrol,125,27.9,2
 Bajaj,2019,15245.5,Manual,2222,Petrol,125,20.9,2
 Aprilia,2019,28495.5,Automatic,2761,Petrol,125,29.1,2.9
 Hero,2019,10222,Manual,2221,Petrol,125,27.9,1
 Hero,2019,10222,Manual,2862,Petrol,125,27.9,1
 Bajaj,2019,13995,Manual,6778,Petrol,125,22.8,2
 KTM,2019,9995.5,Manual,6155,Petrol,125,27.1,1
 KTM,2019,9995.5,Manual,6665,Petrol,125,27.1,1
 Yamaha,2016,8998,Manual,12512,Petrol,20,60.1,1
 Bajaj,2017,9978,Automatic,28150,Petrol,200,22.2,2
 Yamaha,2020,13940.5,Automatic,5222,Petrol,125,22.1,2
 Hero,2020,11495,Automatic,5222,Petrol,125,22.8,2
 Honda,2017,9148,Automatic,27112,Petrol,125,62.2,2
 Beneli,2019,26248,Automatic,1968,Petrol,125,22.2,2
 Hero,2019,9875.5,Manual,2622,Petrol,125,27.9,1
 Tvs,2016,7778,Automatic,25520,Petrol,20,55.2,2
 Beneli,2016,21498,Automatic,22071,Petrol,200,29.2,2
 Royal Enfield,2019,12709.5,Automatic,12712,Petrol,125,29.8,2
 Tvs,2016,7798,Manual,16666,Petrol,0,72.2,2
 Yamaha,2019,10498,Automatic,12912,Petrol,125,22.2,2
 Tvs,2017,14998,Automatic,11119,Petrol,125,27.7,2
 Hero,2019,9998,Automatic,6227,Petrol,125,27.1,1
 Beneli,2018,29998,Automatic,15522,Petrol,125,27.2,2
 Suzuki,2019,17298,Automatic,8222,Petrol,125,28.2,2
 Suzuki,2019,17298,Automatic,5226,Petrol,125,28.2,2
 Beneli,2016,14749,Automatic,26816,Petrol,160,28.7,2
 Suzuki,2019,16499,Automatic,2025,Petrol,125,22.2,2
 Suzuki,2019,14998,Automatic,2520,Petrol,125,29.2,2
 Suzuki,2019,17248,Automatic,2220,Petrol,125,28.2,2
 Yamaha,2019,10748,Automatic,2152,Petrol,125,52.2,2
 Hero,2019,9611,Manual,2556,Petrol,125,50.2,1
 Hero,2015,5628,Manual,18970,Petrol,0,67.2,1
 Tvs,2019,9748,Manual,21275,Petrol,125,29.2,2
 KTM,2019,10498,Manual,6971,Petrol,125,22.1,1
 BMW,2019,19748,Automatic,5902,Petrol,125,50.2,2
 Beneli,2016,16498,Automatic,22278,Petrol,200,27.9,2
 Royal Enfield,2017,11948,Automatic,19208,Petrol,125,58.9,2
 Triumph,2017,21998,Automatic,8966,Petrol,125,22,2.9
 BMW,2018,18248,Automatic,10961,Petrol,125,28.7,2
 Beneli,2016,15498,Automatic,22727,Petrol,200,27.9,2
 Tvs,2019,12473,Automatic,11001,Petrol,125,27.1,2
 Hero,2020,9248,Manual,5566,Petrol,125,28.7,1
 Bajaj,2016,8999,Manual,7102,Petrol,125,51,1
 Beneli,2016,10999,Automatic,62668,Petrol,165,28.7,2
 Hero,2019,8498,Manual,11058,Petrol,125,51,1
 Suzuki,2019,17248,Automatic,6260,Petrol,125,28.2,2
 KTM,2019,9275.5,Manual,6272,Petrol,125,29.6,2
 Bajaj,2017,9748,Manual,17856,Petrol,125,29.6,1
 Yamaha,2017,9448,Manual,12222,Petrol,125,57.6,2
 Hero,2017,6378,Manual,15020,Petrol,0,67.2,1
 Yamaha,2016,8249,Manual,20692,Petrol,20,60.1,1
 Royal Enfield,2015,10499,Automatic,28092,Petrol,260,26.7,2
 Honda,2015,6749,Automatic,51205,Petrol,20,67.2,2
 Bajaj,2015,6999,Manual,76861,Petrol,125,52.2,2
 Tvs,2017,6649,Manual,57262,Petrol,0,72.2,2
 Suzuki,2019,17495.5,Automatic,6826,Petrol,125,28.2,2
 Royal Enfield,2017,11349,Automatic,25952,Petrol,125,62.8,2
 Royal Enfield,2017,10999,Automatic,11757,Petrol,125,52.2,2
 Yamaha,2016,7749,Automatic,27222,Petrol,20,61,2
 Ducati,2016,12499,Automatic,50661,Petrol,200,22.9,2
 Bajaj,2017,9499,Manual,12202,Petrol,150,56.5,2
 Yamaha,2015,6149,Automatic,29292,Petrol,20,62.8,2
 Bajaj,2016,8749,Manual,19268,Petrol,20,60.1,2
 Bajaj,2016,7999,Manual,25876,Petrol,20,60.1,2
 Hero,2012,4149,Manual,51251,Petrol,125,52.2,1
 Hero,2016,7499,Automatic,15222,Petrol,20,70.6,1
 Bajaj,2016,6499,Manual,67622,Petrol,20,61,2
 Honda,2012,6749,Manual,69210,Petrol,125,57.6,2
 Tvs,2019,9349,Automatic,18075,Petrol,125,20.9,2
 Suzuki,2016,11249,Automatic,27828,Petrol,200,27.1,2
 Honda,2012,5749,Manual,55268,Petrol,125,57.6,2
 Bajaj,2017,8500,Automatic,52000,Petrol,125,52.2,2
 Royal Enfield,2016,8249,Automatic,29229,Petrol,20,70.6,2
 KTM,2019,9499,Manual,6278,Petrol,125,27.1,1
 Bajaj,2012,6499,Manual,22071,Petrol,125,27.9,1
 Royal Enfield,2016,7499,Automatic,22852,Petrol,125,58.9,2
 Suzuki,2012,7249,Manual,72872,Petrol,200,27.9,2
 Honda,2015,6999,Manual,52827,Petrol,20,62.2,2
 Suzuki,2019,15499,Automatic,21,Petrol,125,22.2,2
 Yamaha,2012,5997.5,Manual,22175,Petrol,20,60.1,1
 Bajaj,2015,8699,Automatic,22529,Petrol,160,51,2
 Royal Enfield,2019,13249,Automatic,270,Petrol,125,20.2,2
 Royal Enfield,2015,7999,Manual,28852,Petrol,125,56.5,2
 Honda,2012,8149,Automatic,75125,Petrol,225,22.8,2
 Hero,2012,4499,Manual,28220,Petrol,125,52.2,1
 Royal Enfield,2017,11199,Automatic,17616,Petrol,125,65.7,2
 Bajaj,2012,5899,Manual,20252,Petrol,160,50.2,2
 Hero,2017,5647.5,Manual,26791,Petrol,125,67.2,1
 Tvs,2017,9349,Manual,20299,Petrol,125,51,1
 Tvs,2016,10349,Automatic,20272,Petrol,125,56.5,2
 Yamaha,2018,9999,Automatic,22721,Petrol,125,56.5,2
 Tvs,2018,9249,Manual,12202,Petrol,125,52.2,1
 Royal Enfield,2017,11249,Automatic,22020,Petrol,125,70.6,2
 Yamaha,2019,9999,Automatic,9758,Petrol,150,22.8,1
 Tvs,2017,7249,Manual,15892,Petrol,125,51,1
 Mahindra,2019,17999,Automatic,76,Petrol,125,27.1,2
 Italjet,2017,27499,Automatic,8526,Petrol,125,29.2,2
 Hero,2016,4809.5,Manual,58952,Petrol,0,76.2,2
 Yamaha,2017,8495.5,Manual,21212,Petrol,125,29.6,2
 Hero,2016,6495.5,Manual,21686,Petrol,20,55.2,1
 Yamaha,2017,8749,Manual,20259,Petrol,20,60.1,1
 Bajaj,2015,8999,Manual,20897,Petrol,160,29.6,2
 Yamaha,2016,8999,Automatic,18287,Petrol,20,72.2,2
 Honda,2016,11399,Automatic,12987,Petrol,20,58.9,2
 Bajaj,2016,8999,Manual,9281,Petrol,125,51,1
 Tvs,2016,5849,Manual,72981,Petrol,0,72.2,2
 Yamaha,2016,6499,Manual,22922,Petrol,20,72.2,2
 Kawasaki,2017,8999,Automatic,29109,Petrol,160,22.5,2
 Yamaha,2016,8349,Manual,12115,Petrol,20,58.9,1
 Honda,2017,10249,Automatic,12806,Petrol,125,62.2,2
 Bajaj,2015,7899,Manual,21691,Petrol,125,29.6,1
 Bajaj,2015,7499,Manual,28126,Petrol,125,56.5,2
 Tvs,2017,9349,Manual,22905,Petrol,125,51,1
 KTM,2018,9245.5,Manual,16800,Petrol,150,52.2,1
 Royal Enfield,2012,6275.5,Manual,28500,Petrol,20,60.1,2
 Tvs,2016,8647.5,Automatic,22262,Petrol,20,67.2,2
 Bajaj,2017,8765,Manual,19078,Petrol,20,61,2
 Yamaha,2015,4635,Automatic,22121,Petrol,20,72.2,2
 Hero,2016,5255,Manual,21912,Petrol,0,67.2,1
 Kawasaki,2016,7026.5,Manual,22552,Petrol,125,27.1,2
 Suzuki,2015,9249,Manual,22175,Petrol,200,27.9,2
 Bajaj,2015,7849,Manual,22861,Petrol,125,60.1,2
 Royal Enfield,2016,8249,Automatic,21280,Petrol,125,58.9,2
 Suzuki,2019,17349,Automatic,50,Petrol,125,22.1,2
 Royal Enfield,2017,12749,Automatic,21252,Petrol,125,28.2,2
 Hero,2012,3978,Manual,27000,Petrol,0,72.2,2
 Honda,2012,6499,Automatic,59811,Petrol,150,56.5,2
 Yamaha,2017,6249,Manual,27882,Petrol,0,72.2,2
 Suzuki,2015,11399,Automatic,56960,Petrol,260,22,2
 KTM,2018,9175.5,Manual,10581,Petrol,125,52.2,1
 Tvs,2017,9149,Manual,18727,Petrol,125,51,1
 Royal Enfield,2017,8649,Manual,26269,Petrol,125,68.9,2
 Royal Enfield,2016,7997.5,Manual,52000,Petrol,125,52.2,2
 Royal Enfield,2016,7997.5,Automatic,21100,Petrol,125,58.9,2
 Kawasaki,2015,7499,Manual,22872,Petrol,20,62.8,2
 Honda,2016,6749,Manual,97729,Petrol,20,61,2
 Kawasaki,2016,8149,Manual,22697,Petrol,20,62.8,2
 Tvs,2012,4249,Manual,78268,Petrol,20,61,2
 Hero,2017,5499,Manual,20812,Petrol,0,67.2,1
 Yamaha,2015,6749,Automatic,22507,Petrol,20,72.2,2
 Honda,2019,14495.5,Automatic,8766,Petrol,125,29.8,2
 Honda,2016,9499,Manual,25000,Petrol,20,61,2
 Bajaj,2017,9499,Manual,21967,Petrol,125,56.5,2
 Yamaha,2016,8499,Manual,20628,Petrol,125,29.6,2
 Hero,2016,6399,Manual,19512,Petrol,0,67.2,1
 Honda,2016,9999,Manual,26280,Petrol,20,61,2
 Tvs,2016,6499,Manual,68228,Petrol,20,72.2,2
 KTM,2019,11499,Automatic,2822,Petrol,125,26.2,2
 Yamaha,2016,6997.5,Manual,20050,Petrol,20,68.9,2
 Honda,2012,6497.5,Automatic,82500,Petrol,125,52.2,2
 Tvs,2017,7147.5,Manual,52000,Petrol,0,72.2,2
 Royal Enfield,2012,5035,Manual,80222,Petrol,20,60.1,2
 Hero,2015,4899,Manual,29552,Petrol,0,80.7,2
 Tvs,2019,9499,Manual,2601,Petrol,125,22,2
 Tvs,2016,8499,Manual,28752,Petrol,20,68.9,2
 Yamaha,2015,9149,Automatic,9525,Petrol,200,22.8,2
 Hero,2015,5125,Manual,22219,Petrol,0,67.2,1
 Beneli,2015,14063.5,Automatic,21622,Petrol,200,27.9,2
 KTM,2017,8530,Manual,19520,Petrol,125,52.2,1
 KTM,2019,10444,Manual,222,Petrol,125,27.1,1
 Hero,2017,7747.5,Manual,15665,Petrol,150,72.2,2
 KTM,2019,9495,Manual,2657,Petrol,150,27.1,1
 Yamaha,2017,6970,Automatic,25000,Petrol,20,62.8,2
 Tvs,2019,14849,Automatic,1996,Petrol,125,29.2,2
 Bajaj,2015,7249,Manual,29850,Petrol,20,61,2
 Honda,2016,7249,Automatic,29258,Petrol,20,61,2
 Tvs,2018,11975,Automatic,19288,Petrol,125,61,2
 Tvs,2018,11997.5,Automatic,19200,Petrol,125,61,2
 Tvs,2016,7497.5,Manual,21100,Petrol,0,72.2,2
 Bajaj,2017,8977,Automatic,21178,Petrol,150,27.9,1
 Yamaha,2019,10997.5,Manual,5222,Petrol,125,55.2,2
 Hero,2017,7997.5,Automatic,22296,Petrol,150,70.6,2
 Bajaj,2019,13722,Manual,1786,Petrol,150,22.8,2
 Hero,2020,12722,Automatic,1500,Petrol,125,22.8,2
 Honda,2019,19222,Automatic,2000,Petrol,125,22,2
 Tvs,2019,19995,Automatic,8000,Petrol,125,20.2,2
 Bajaj,2016,9749,Manual,10855,Petrol,160,29.6,2
 Royal Enfield,2016,8749,Automatic,22012,Petrol,150,56.5,2
 Yamaha,2012,4849,Automatic,25618,Petrol,20,62.8,2
 Bajaj,2016,8499,Manual,29882,Petrol,125,52.2,2
 Royal Enfield,2018,12925,Automatic,6521,Petrol,125,65.7,2
 KTM,2019,10175,Manual,2970,Petrol,125,27.1,1
 Honda,2015,7999,Automatic,29529,Petrol,20,62.2,2
 Honda,2016,9499,Automatic,22565,Petrol,125,58.9,2
 Honda,2016,9249,Manual,21200,Petrol,20,61,2
 Yamaha,2015,6649,Manual,20221,Petrol,20,68.9,2
 Kawasaki,2015,7999,Manual,21725,Petrol,125,27.9,2
 Royal Enfield,2016,8749,Automatic,27978,Petrol,165,52.2,2
 Hero,2019,9247.5,Manual,2626,Petrol,125,50.2,1
 Kawasaki,2019,13497.5,Automatic,6127,Petrol,125,20.2,2
 Honda,2019,15750,Automatic,6001,Petrol,125,27.9,2
 Bajaj,2019,13944,Manual,2052,Petrol,125,22.8,2
 Hero,2016,5995,Manual,12926,Petrol,20,57.6,1
 Suzuki,2019,25475,Automatic,2000,Petrol,125,22.5,2
 Royal Enfield,2017,11925,Automatic,21286,Petrol,125,60.1,2
 Tvs,2018,9225,Manual,15072,Petrol,125,52.2,1
 Hero,2019,9995,Automatic,2826,Petrol,125,27.1,1
 Yamaha,2018,10499.5,Automatic,2952,Petrol,125,56.5,2
 Bajaj,2016,9747.5,Automatic,25202,Petrol,125,51,2
 KTM,2017,9997.5,Automatic,21952,Petrol,125,57.7,2
 Bajaj,2019,14722,Automatic,6229,Petrol,125,28.7,2
 Hero,2019,9995,Automatic,6262,Petrol,125,27.1,1
 Hero,2017,11375,Manual,18265,Petrol,125,29.8,2
 KTM,2017,9425,Automatic,21228,Petrol,125,68.9,2
 Hero,2018,8495,Manual,8200,Petrol,125,70.6,1
 KTM,2019,9944,Manual,2519,Petrol,125,29.6,2
 Yamaha,2016,7995,Automatic,27720,Petrol,20,62.8,2
 Tvs,2020,16944,Automatic,2225,Petrol,125,26.2,2
 KTM,2020,11944,Automatic,500,Petrol,125,22.2,2
 KTM,2019,9595,Manual,2878,Petrol,125,27.1,1
 Royal Enfield,2015,6495,Automatic,22811,Petrol,125,58.9,2
 Bajaj,2019,14245,Automatic,12281,Petrol,125,21.7,2
 Yamaha,2019,10745,Automatic,15961,Petrol,125,22,2
 Yamaha,2016,8245,Automatic,22192,Petrol,20,52.2,1
 Mahindra,2016,9995,Automatic,27286,Petrol,125,61,2
 Ducati,2017,18495,Automatic,17889,Petrol,125,22,2
 Hero,2017,9625,Manual,27209,Petrol,125,29.8,2
 Beneli,2016,16249,Automatic,21022,Petrol,200,27.9,2
 Honda,2012,7399,Automatic,20700,Petrol,20,62.2,2
 Hero,2015,4649,Manual,22220,Petrol,0,80.7,2
 Hero,2016,6149,Manual,20001,Petrol,20,56.5,1
 Hero,2015,7997.5,Manual,19522,Petrol,205,20.2,2
 Bajaj,2016,7499,Manual,72281,Petrol,125,52.2,2
 Yamaha,2015,6249,Manual,68127,Petrol,20,65.7,2
 Royal Enfield,2016,7499,Automatic,50902,Petrol,125,58.9,2
 Tvs,2016,8065.5,Automatic,29212,Petrol,20,67.2,2
 Yamaha,2017,6649,Manual,68268,Petrol,20,65.7,2
 Honda,2015,9499,Automatic,29029,Petrol,165,50.2,2
 Yamaha,2016,8217.5,Manual,29527,Petrol,20,62.2,2
 Bajaj,2017,9732.5,Automatic,22516,Petrol,125,51,2
 Kawasaki,2017,10217.5,Manual,21587,Petrol,150,60.1,2
 Hero,2016,5595.5,Manual,22228,Petrol,20,55.2,1
 Bajaj,2016,7770,Automatic,22015,Petrol,125,27.9,1
 Yamaha,2015,4695.5,Manual,72567,Petrol,0,82.1,2
 Honda,2016,7299,Manual,81517,Petrol,20,61,2
 Tvs,2016,6749,Manual,77061,Petrol,20,67.2,2
 Hero,2015,5249,Manual,21296,Petrol,0,67.2,1
 Royal Enfield,2015,7849,Automatic,25177,Petrol,125,58.9,2
 Hero,2015,5099,Manual,26910,Petrol,0,67.2,1
 Tvs,2016,5999,Manual,77976,Petrol,0,72.2,2
 Tvs,2016,6649,Manual,85792,Petrol,20,67.2,2
 Tvs,2016,7499,Manual,22279,Petrol,0,72.2,2
 Tvs,2015,6997.5,Manual,55026,Petrol,125,58.9,2
 Yamaha,2015,5692.5,Manual,25000,Petrol,20,72.2,2
 Royal Enfield,2015,6945,Automatic,66500,Petrol,125,58.9,2
 Tvs,2017,6449,Manual,72816,Petrol,0,72.2,2
 Honda,2015,6599,Automatic,91592,Petrol,20,67.2,2
